name,time,records_returned
query_1,4.286880254745483,4
query_2,0.3176255226135254,100
query_3,1.9156520366668701,10
query_4,2.5282578468322754,5
query_5,2.829188346862793,5
query_6,1.3082129955291748,1
query_7,4.228699445724487,4
query_8,6.287665843963623,2
query_9,16.487565755844116,175
query_10,1.5386667251586914,20
query_11,0.7814042568206787,1048
query_12,1.3212790489196777,2
query_13,11.495781421661377,42
query_14,1.4880905151367188,1
query_15,2.9241726398468018,1
query_16,0.45920348167419434,18314
query_17,4222.522967815399,1
query_18,1.8078625202178955,57
query_19,1.9574649333953857,1
query_20,5664.344211578369,186
query_21,9.129176139831543,100
query_22,1086.090853214264,7

